id,smiles,notes,params_json
3573711,CC(C1=NC2=CC=CC=C2S1)OC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCCC4,,
3573843,CCCCC(=O)NC1=NC2=C(S1)C3=C(C=C2)N=C(S3)C,,
3574166,CN1CCC2=C(C1)SC(=C2C3=NC4=CC=CC=C4S3)NC(=O)C5CC5,,
3574419,C1=CC=C(C=C1)C2=NC(=CS2)C3=CC(=CC=C3)NC(=O)C4=CC=CS4,,
3574467,CC1=C(C(C(=C(N1)SCC(=O)NC2=NC3=CC=CC=C3S2)C#N)C4=CN=CC=C4)C(=O)C,,
3574626,COC1=CC(=C(C=C1)C(=O)NC2=NC3=C(S2)C4=C(C=C3)N=C(S4)SC)OC,,
3574667,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)NC3=NC(=CS3)C4=CC=C(C=C4)C5=CC=CC=C5,,
3575128,CC1CC(CN(C1)C(C2=CC=C(C=C2)C)C3=C(N4C(=NC=N4)S3)O)C,,
3575426,C1CC(=O)N(C1=O)C2=CC=C(C=C2)C(=O)NC3=NC(=CS3)C4=CC5=CC=CC=C5C=C4,,
3575784,C1CC2=CC=CC=C2N(C3=CC=CC=C31)C(=O)CSC4=NC5=C(S4)C=C(C=C5)NC6=NC(=NC(=N6)N7CCOCC7)N8CCOCC8,,
3575970,CC(=NCCC1=CC(=C(C=C1)OC)OC)C2=C(NN(C2=O)C3=NC4=CC=CC=C4S3)C(F)(F)F,,
3576185,C1=CC(=C(C=C1[N+](=O)[O-])C(=O)NC2=NC3=C(S2)C=C(C=C3)Cl)Cl,,
3576639,CC(=O)N1CCC2=C(C1)SC(=C2C3=NC4=CC=CC=C4S3)NC(=O)C5=CC=CC=C5F,,
3580326,CC1(CC2=C(C(=O)C1)C(=C3C(=C(SC3=N2)C(=O)NC4=CC=CC(=C4)C5=NC6=CC=CC=C6S5)N)C7=CC=C(C=C7)OC)C,,
3580766,COC1=CC2=C(C=C1)N=C(S2)N3C(C(=C(C4=CC=CC=C4)O)C(=O)C3=O)C5=CC=CC=C5F,,
3580988,CC12CCC3C1(COC2(C3)C(=O)NC4=NC5=CC=CC=C5S4)C,,
3581200,C1CC(OC1)COC2=CC=C(C=C2)C(=O)NC3=NC(=CS3)C4=CC(=C(C=C4)F)F,,
